Occupation,Total Employed,Percent of total employed_women,Percent of total employed_White,Percent of total employed_Black or African American,Percent of total employed_Asian,Percent of total employed_Hispanic or Latino,Group
Telecommunications line installers and repairers,131,6.3,83.4,12,0.9,22.4,Highway maintenance workers
Precision instrument and equipment repairers,73,16.2,72.9,12.8,9.8,5.9,Highway maintenance workers
"Other installation, maintenance, and repair workers",183,5.5,84.2,8.5,3,30.4,Highway maintenance workers
"Production, transportation, and material moving occupations",18215,23.7,74.6,16.7,4.8,23.8,Highway maintenance workers
Production occupations,7590,28.3,77.8,13.1,5.6,23.6,Highway maintenance workers
First-line supervisors of production and operating workers,748,19,79.5,13.7,4.2,17.7,Highway maintenance workers
"Electrical, electronics, and electromechanical assemblers",91,42.2,59.5,12.4,18,17.2,Highway maintenance workers
Other assemblers and fabricators,872,32.7,69,18.7,8.1,20.7,Highway maintenance workers
Bakers,235,64.1,77,11.8,6.7,26.9,Highway maintenance workers
"Butchers and other meat, poultry, and fish processing workers",266,25.7,75.1,16.2,5.5,40.1,Highway maintenance workers
Food batchmakers,94,56.8,86.9,7.2,2.8,27.6,Highway maintenance workers
"Food processing workers, all other",125,36.9,71.4,17.9,7.1,36,Highway maintenance workers
Computer numerically controlled tool operators and programmers,105,9,88.9,7.3,3.3,14.5,Highway maintenance workers
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",72,15,78,18.7,2.7,22.8,Highway maintenance workers
Machinists,290,5.8,91.7,4.1,3.1,13.2,Highway maintenance workers
"Welding, soldering, and brazing workers",520,3.8,86.9,7.4,2.7,23.1,Highway maintenance workers
Other metal workers and plastic workers,341,22.2,75.2,16.7,4.6,26,Highway maintenance workers
Printing press operators,128,19.7,83.7,7.3,5.8,18.4,Highway maintenance workers
Laundry and dry-cleaning workers,120,71.5,58,25.6,10,26.7,Highway maintenance workers
Sewing machine operators,131,66.7,73.5,12.6,10.8,36.9,Highway maintenance workers
Cabinetmakers and bench carpenters,50,7.8,91.5,6.4,1.3,27.2,"Tailors, dressmakers, and sewers"
Stationary engineers and boiler operators,56,10.6,77.5,14.4,4.9,10.7,"Tailors, dressmakers, and sewers"
Water and wastewater treatment plant and system operators,112,11,88.9,8.4,0.9,8.6,"Tailors, dressmakers, and sewers"
"Crushing, grinding, polishing, mixing, and blending workers",79,19.9,81.6,16.3,1.1,19.2,"Tailors, dressmakers, and sewers"
Cutting workers,54,27.1,86.9,9.4,2.3,26.2,"Tailors, dressmakers, and sewers"
"Inspectors, testers, sorters, samplers, and weighers",751,38.7,77.2,11.4,7.6,20.6,"Tailors, dressmakers, and sewers"
Dental and ophthalmic laboratory technicians and medical appliance technicians,74,59.9,91,4.4,4.6,17,"Tailors, dressmakers, and sewers"
Packaging and filling machine operators and tenders,252,45.8,69.9,20.8,4.1,41.2,"Tailors, dressmakers, and sewers"
Painting workers,148,8.1,87,7.8,1.5,32.2,"Tailors, dressmakers, and sewers"
Other production workers,1046,27.6,74,15.3,6.2,27.2,"Tailors, dressmakers, and sewers"
Transportation and material moving occupations,10625,20.5,72.3,19.4,4.2,23.9,"Tailors, dressmakers, and sewers"
Supervisors of transportation and material moving workers,265,23.5,73.8,14.8,5.7,23.2,"Tailors, dressmakers, and sewers"
Aircraft pilots and flight engineers,155,5.6,94,3.4,2.2,5,"Tailors, dressmakers, and sewers"
Flight attendants,81,79.7,65,19.3,10.6,10.3,"Tailors, dressmakers, and sewers"
